ул.Родионова, д.201;Обычный;0;56.287172;44.072138
ул.Верхне-Печерская, д.10;Обычный;2.625;56.324301;43.987634
пер.Урожайный, д.4;Обычный;2;56.32195;43.993123
пер.Плотничный, д.18в;Обычный;0.604167;56.292198;44.04986
ул.Генерала Ивлиева, д.32, к.4;Обычный;0;56.370872;44.0587
ул.Кулибина, д.6;Обычный;0;56.305549;43.985523
пр.Гагарина, д.8;Обычный;0;56.313074;44.015221
ул.Ошарская, д.70;Обычный;0;56.299496;44.037984
ул.Н.Сусловой, д.5/3;Обычный;0;56.792148;44.498667
ул.Б.Корнилова, д.10;Обычный;0;56.293162;43.983538
пр.Гагарина, д.44;Обычный;0;56.281651;44.042719
ул.Малиновского, д.12;Обычный;0;56.29007;44.002932
ул.Бекетова, д.19а;Обычный;0;56.292343;44.038838
ул.Ванеева, д.104/3;Обычный;0;56.295515;44.01541
ул.Верхняя, д.8;Обычный;0;56.291494;44.009274
ул.Бекетова, д.29а;Обычный;0;56.315091;44.015374
ул.Ванеева, д.7/57;Обычный;0;56.328609;44.015032
ул.Минина, д.10а;Обычный;1.14583;56.316973;44.004567
ул.Горького, д.150в;Обычный;0;56.306767;43.993284
ул.Тимирязева, д.29а;Обычный;0;56.226599;43.949195
ул.40 лет.Победы, д.16;Обычный;0;56.487399;43.616827
ул.Окт.революции, д.45а;Обычный;11.1667;56.289126;43.938505
ул.Академика Баха, д.2;Обычный;9.79613;56.758615;43.234172
г.Чкаловск, ул.Мира, д.1;Обычный;10.4258;56.286193;44.033879
ул.Ванеева, д.211;Обычный;0;56.35338;44.077825
ул.Полевая, д.10;Обычный;6.32738;56.645638;43.475037
г.Городец, ул.Кирова, д.25;Обычный;13.275;56.291688;44.071635
ул.Касьянова, д.2;Обычный;3.67619;56.313938;43.935163
ул.Октябрьской революции, д.18;Обычный;2.76845;54.919492;43.337173
ул.Пушкина, д.20в;Обычный;14.425;55.359277;43.855752
ул.Центральная, д.9;Обычный;4.83333;56.299456;44.006148
ул.Артельная, д.12а;Обычный;7.16667;56.310138;44.077924
ул.Родионова, д.190;Обычный;0;54.933052;43.351483
пр.Ленина, д.59;Обычный;0.916667;56.156536;43.847272
ул.Животноводов, д.64а;Обычный;3.65476;56.228676;43.949869
"ул.Голованова, д.73, м-н ""Аверс""";Обычный;2.625;56.231748;43.945691
пр.Гагарина, д.113;Обычный;9.12917;56.28219;43.947156
бульвар Заречный, д.9;Обычный;2.2;56.243289;43.869146
пр.Ленина, д.98;Обычный;0;56.312764;44.611891
посёлок Окский, ул.Новожилова, д.12;Обычный;7.38393;56.167975;43.740705
Доскино, ул.Магистральная, д.52а;Обычный;5.06667;56.218326;43.400342
ул.Гоголя, д.45а;Обычный;4;56.312764;44.611891
д.Афонино, ул.Магистральная, д.2;Обычный;4.96667;56.318037;44.012832
пл.Свободы, д.3;Обычный;0;56.358996;44.049177
ул.Луначарского, д.25;Обычный;0;56.267982;43.929225
ул.Робеспьера, д.2;Обычный;4.625;56.232829;44.007199
ул.Борисова, д.64;Обычный;4.59762;56.77707;44.467352
ул.Фруктовая, д.6;Обычный;1.5;56.293102;44.067503
ул. Верхнепечёрская , д.№5;Обычный;25.1256;56.31892;44.027977
ул.Белинского, д.85;Обычный;2.13869;56.317268;44.024384
ул.Полтавская, у д.2А;Обычный;5;56.321626;44.019955
ул.Ковалихинская, д.30;Обычный;0;56.312055;44.003103
ул.Белинского, д.64;Обычный;9.03452;56.235761;43.942368
ул.Тропинина, д.13;Обычный;0;56.269111;43.930663
ул.Глеба Успенского, д.11а;Обычный;0;56.272535;43.914367
ул.Херсонская, д.14/1;Обычный;0;56.275519;43.916029
пр.Ленина, д.61а;Обычный;0;56.266032;43.914502
пр.Ленина, д.74;Обычный;0;56.264872;43.914915
пер.Райниса, д.6;Обычный;0;56.278937;43.934984
ул.Усиевича, д.21а;Обычный;0;56.276134;43.940921
ул.Перекопская, д.5а;Обычный;0;56.282305;43.941173
ул.Арктическая, д.4а;Обычный;0;56.264217;43.913217
пер.Райниса, д.9;Обычный;0;54.932446;43.351815
пр.Ленина, д.57/4;Обычный;0;56.265577;43.915275
пер.Райниса, д.3а;Обычный;0;56.276993;43.946311
ул.Диксона, д.33;Обычный;0;54.92582;43.345455
пр.Ленина, д.28/10;Обычный;0;56.291229;43.914583
ул.Самочкина, д.5а;Обычный;0;56.264682;43.909858
пр.Ленина, д.83;Обычный;0;56.276374;43.948602
ул.Каширская, д.69а;Обычный;0;56.27323;43.922766
ул.Таганская, д.9б;Обычный;0;56.280332;43.928704
ул.Космонавта Комарова, 13б;Обычный;0;56.272805;43.921275
ул.Таганская, д.9а;Обычный;0;56.270966;43.933456
ул.Композиторская, д.3;Обычный;0;54.930858;43.349345
пр.Ленина, д.50а;Обычный;0;56.279442;43.928695
ул.Героя Чугунова, д.5б;Обычный;0;56.258043;43.929486
пер.Ермака, д.2а;Обычный;0;56.28295;43.932792
ул.Сухопутная, д.4;Обычный;0;56.271461;43.933959
ул.Глеба Успенского, д.1а;Обычный;0;54.930812;43.350108
пр.Ленина, д.49а;Обычный;0;56.275744;43.932666
